hour,day_of_week,vehicle_count,weather,is_holiday,temperature,density_pct,congestion
20,0,43,0,1,22.5,10.1,0
21,5,30,0,0,26.4,5.6,0
6,1,177,0,0,22.0,37.3,0
13,1,167,0,0,35.4,38.0,0
22,3,79,0,0,37.1,15.1,0
2,3,11,1,0,30.1,1.5,0
17,0,379,0,0,29.0,80.5,2
11,4,176,0,0,31.2,37.5,0
2,6,37,0,0,23.6,6.0,0
5,2,27,0,0,32.0,7.0,0
19,5,324,1,0,21.3,63.4,1
20,5,109,0,0,34.9,20.4,0
7,6,101,0,1,23.4,20.9,0
22,2,141,0,0,35.7,22.5,0
4,2,78,1,0,28.8,10.4,0
13,4,156,0,0,38.0,29.5,0
2,6,24,0,1,30.5,1.8,0
19,0,279,0,0,27.4,56.7,1
0,5,15,0,0,28.7,0.3,0
3,2,42,0,0,37.1,4.2,0
16,6,140,2,0,35.4,32.4,0
16,4,192,0,0,21.2,37.7,0
0,4,14,0,0,36.6,3.0,0
1,1,21,2,0,19.7,0.0,0
17,6,201,0,0,36.9,38.6,0
16,6,215,3,0,36.6,43.3,0
22,2,124,0,0,25.5,21.3,0
3,1,31,0,0,29.8,7.3,0
7,0,209,0,0,22.6,40.0,0
2,4,24,0,0,22.3,3.9,0
18,3,210,0,0,26.1,40.2,0
21,3,42,0,0,35.3,14.0,0
1,3,7,1,0,20.2,1.4,0
17,3,227,0,0,27.3,42.2,0
17,0,329,3,0,34.7,68.3,1
5,3,0,0,0,26.0,0.0,0
12,0,136,0,0,33.7,27.8,0
13,5,228,3,0,29.1,39.7,0
4,1,34,3,0,29.6,2.8,0
23,2,107,0,0,28.1,22.0,0
1,4,38,0,0,29.9,9.8,0
12,0,104,0,0,29.6,21.3,0
2,3,9,0,0,24.3,1.5,0
21,5,111,0,0,20.6,21.3,0
14,2,206,2,0,18.2,36.8,0
3,0,6,0,0,20.6,0.0,0
7,2,296,0,0,28.9,57.8,1
20,4,54,1,1,24.0,14.0,0
4,2,15,0,0,29.1,4.0,0
19,1,279,0,0,30.7,50.5,1
15,2,171,1,0,19.8,35.2,0
1,0,18,0,0,37.6,2.4,0
17,5,308,0,0,19.5,59.6,1
17,0,214,0,0,21.0,44.6,0
9,2,371,1,0,35.2,77.3,2
21,1,121,0,0,29.2,27.0,0
