hour,day_of_week,vehicle_count,weather,is_holiday,temperature,density_pct,congestion
20,0,44,0,1,22.5,10.3,0
2,4,50,0,0,22.4,9.6,0
0,4,22,0,0,28.9,6.3,0
18,2,385,0,0,34.1,81.6,2
10,2,113,3,0,24.7,21.9,0
3,2,55,0,0,34.1,10.3,0
17,0,379,0,0,29.0,80.5,2
11,4,109,0,0,31.2,24.1,0
7,6,240,0,0,30.7,46.9,1
11,2,86,0,0,36.7,18.8,0
20,1,139,0,0,27.2,26.4,0
22,4,58,0,0,33.4,10.2,0
1,6,30,0,0,22.2,6.7,0
6,5,84,2,0,30.9,12.0,0
4,1,44,0,0,32.9,3.6,0
12,2,92,3,0,28.2,16.7,0
3,1,9,1,0,26.4,0.0,0
12,4,39,0,0,37.4,8.7,0
21,4,169,1,0,24.8,31.1,0
5,3,6,1,1,32.4,0.0,0
16,0,89,0,0,30.8,22.2,0
11,6,79,3,0,36.4,15.2,0
10,3,56,2,1,35.6,11.4,0
1,1,21,2,0,19.7,0.0,0
17,6,202,0,0,36.9,39.1,0
16,6,127,3,0,36.6,25.8,0
12,5,63,0,0,28.4,9.8,0
7,0,236,0,0,22.6,48.3,1
2,5,4,0,0,36.1,0.0,0
16,1,212,0,0,28.8,41.5,0
15,1,103,1,0,21.8,18.8,0
11,3,73,2,0,19.1,20.2,0
12,5,111,2,0,23.0,22.3,0
14,1,77,0,0,23.0,12.2,0
17,0,329,3,0,34.7,68.3,1
5,3,0,0,0,26.0,0.0,0
12,0,164,0,0,33.7,33.4,0
13,5,212,3,0,29.1,37.5,0
6,2,65,0,0,32.7,9.0,0
1,0,0,0,0,35.1,0.6,0
16,0,115,0,0,19.4,25.2,0
3,4,43,0,0,30.4,9.1,0
18,4,275,0,0,31.4,54.7,1
8,3,376,0,0,27.1,74.3,2
0,3,27,0,0,20.0,1.0,0
16,2,115,0,0,19.4,20.8,0
9,1,380,0,0,24.1,74.6,2
0,5,3,0,0,31.3,3.4,0
3,0,14,0,0,23.6,3.8,0
6,5,40,0,0,27.8,3.7,0
20,3,103,0,0,24.7,21.6,0
8,1,189,0,0,26.6,36.6,0
2,5,44,0,0,34.7,7.1,0
4,3,32,0,0,36.0,8.2,0
11,1,199,0,0,25.1,42.9,0
19,5,255,2,0,35.3,53.4,1
0,1,37,0,0,36.6,4.9,0
